vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
1,2016-02-04 23:24:28,2016-02-04 23:50:01,1,6.0,-73.98197937011719,40.77808380126953,-73.94059753417969,40.7252197265625,1,N,1,22.0,0.5,0.5,0.3,4.65,0.0,27.95
2,2016-04-02 18:47:11,2016-04-02 18:57:20,3,1.85,-73.96047973632812,40.76175308227539,-73.98296356201173,40.7757568359375,1,N,1,9.0,0.0,0.5,0.3,1.96,0.0,11.76
1,2016-03-23 21:36:20,2016-03-23 21:46:08,1,1.4,-73.99290466308595,40.734283447265625,-74.00545501708984,40.72561264038085,1,N,2,8.0,0.5,0.5,0.3,0.0,0.0,9.3
1,2016-05-11 19:53:07,2016-05-11 20:03:43,1,1.3,-73.98214721679686,40.740177154541016,-73.98646545410156,40.72654724121094,1,N,2,8.0,0.5,0.5,0.3,0.0,0.0,9.3
2,2016-03-14 22:59:53,2016-03-14 23:33:26,1,8.42,-73.98541259765625,40.7430419921875,-73.94486236572266,40.82906723022461,1,N,2,28.5,0.5,0.5,0.3,0.0,0.0,29.8
2,2016-06-13 21:34:08,2016-06-13 21:44:18,6,1.96,-73.97509002685547,40.75568008422852,-73.98809051513672,40.73200988769531,1,N,1,9.0,0.5,0.5,0.3,2.06,0.0,12.36
2,2016-04-13 09:32:54,2016-04-13 09:42:15,1,0.89,-73.96601104736328,40.77023315429688,-73.96595764160156,40.76057815551758,1,N,1,7.0,0.0,0.5,0.3,1.0,0.0,8.8
2,2016-05-26 19:55:29,2016-05-26 20:10:08,1,6.28,-73.78186798095702,40.6447868347168,-73.74456024169923,40.65814208984375,1,N,2,20.0,1.0,0.5,0.3,0.0,0.0,21.8
1,2016-04-16 18:36:09,2016-04-16 18:50:05,1,1.8,-73.97128295898438,40.75117492675781,-73.98950958251955,40.730201721191406,1,N,1,10.5,0.0,0.5,0.3,1.0,0.0,12.3
1,2016-05-12 20:26:33,2016-05-12 20:35:09,1,1.7,-73.96981048583984,40.78984832763672,-73.96292114257811,40.77263641357422,1,N,1,8.0,0.5,0.5,0.3,1.67,0.0,10.97
2,2016-03-23 23:11:35,2016-03-23 23:22:15,1,1.65,-73.98146057128906,40.76448440551758,-73.98088073730467,40.74764633178711,1,N,1,9.0,0.5,0.5,0.3,1.0,0.0,11.3
2,2016-03-27 21:01:48,2016-03-27 21:10:31,3,1.22,-73.99723052978516,40.72508239746094,-73.98519134521484,40.72039031982422,1,N,1,7.5,0.5,0.5,0.3,1.76,0.0,10.56
1,2016-02-01 08:20:02,2016-02-01 08:23:34,1,0.5,-73.98177337646483,40.768348693847656,-73.98816680908203,40.76879119873047,1,N,1,4.5,0.0,0.5,0.3,1.05,0.0,6.35
1,2016-03-02 21:08:35,2016-03-02 21:21:10,1,2.2,-73.99510192871094,40.759521484375,-73.96881103515625,40.76665115356445,1,N,2,10.5,0.5,0.5,0.3,0.0,0.0,11.8
2,2016-06-05 14:36:37,2016-06-05 14:46:01,4,1.46,-73.96983337402342,40.79713821411133,-73.97267150878906,40.78089904785156,1,N,2,8.0,0.0,0.5,0.3,0.0,0.0,8.8
2,2016-02-03 23:32:30,2016-02-03 23:38:02,1,0.9,-73.98251342773438,40.74263381958008,-73.99197387695312,40.74935150146485,1,N,2,5.5,0.5,0.5,0.3,0.0,0.0,6.8
1,2016-02-12 13:45:48,2016-02-12 13:52:00,3,1.0,-74.0087661743164,40.710914611816406,-74.00246429443358,40.71937561035156,1,N,2,6.0,0.0,0.5,0.3,0.0,0.0,6.8
1,2016-03-15 07:52:27,2016-03-15 08:12:10,2,2.3,-73.98052215576173,40.74811935424805,-73.95417785644531,40.76418685913085,1,N,2,14.0,0.0,0.5,0.3,0.0,0.0,14.8
