audio,text,language
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/0/audio/audio.mp3,CHAPTER SIXTEEN I MIGHT HAVE TOLD YOU OF THE BEGINNING OF THIS LIAISON IN A FEW LINES BUT I WANTED YOU TO SEE EVERY STEP BY WHICH WE CAME I TO AGREE TO WHATEVER MARGUERITE WISHED,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/1/audio/audio.mp3,MARGUERITE TO BE UNABLE TO LIVE APART FROM ME IT WAS THE DAY AFTER THE EVENING WHEN SHE CAME TO SEE ME THAT I SENT HER MANON LESCAUT FROM THAT TIME SEEING THAT I COULD NOT CHANGE MY MISTRESS'S LIFE I CHANGED MY OWN,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/2/audio/audio.mp3,I WISHED ABOVE ALL NOT TO LEAVE MYSELF TIME TO THINK OVER THE POSITION I HAD ACCEPTED FOR IN SPITE OF MYSELF IT WAS A GREAT DISTRESS TO ME THUS MY LIFE GENERALLY SO CALM,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/3/audio/audio.mp3,ASSUMED ALL AT ONCE AN APPEARANCE OF NOISE AND DISORDER NEVER BELIEVE HOWEVER DISINTERESTED THE LOVE OF A KEPT WOMAN MAY BE THAT IT WILL COST ONE NOTHING,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/4/audio/audio.mp3,NOTHING IS SO EXPENSIVE AS THEIR CAPRICES FLOWERS BOXES AT THE THEATRE SUPPERS DAYS IN THE COUNTRY WHICH ONE CAN NEVER REFUSE TO ONE'S MISTRESS AS I HAVE TOLD YOU I HAD LITTLE MONEY,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/5/audio/audio.mp3,MY FATHER WAS AND STILL IS RECEVEUR GENERAL AT C HE HAS A GREAT REPUTATION THERE FOR LOYALTY THANKS TO WHICH HE WAS ABLE TO FIND THE SECURITY WHICH HE NEEDED IN ORDER TO ATTAIN THIS POSITION,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/6/audio/audio.mp3,I CAME TO PARIS STUDIED LAW WAS CALLED TO THE BAR AND LIKE MANY OTHER YOUNG MEN PUT MY DIPLOMA IN MY POCKET AND LET MYSELF DRIFT AS ONE SO EASILY DOES IN PARIS,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/7/audio/audio.mp3,MY EXPENSES WERE VERY MODERATE ONLY I USED UP MY YEAR'S INCOME IN EIGHT MONTHS AND SPENT THE FOUR SUMMER MONTHS WITH MY FATHER WHICH PRACTICALLY GAVE ME TWELVE THOUSAND FRANCS A YEAR AND IN ADDITION THE REPUTATION OF A GOOD SON,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/8/audio/audio.mp3,FOR THE REST NOT A PENNY OF DEBT THIS THEN WAS MY POSITION WHEN I MADE THE ACQUAINTANCE OF MARGUERITE YOU CAN WELL UNDERSTAND THAT IN SPITE OF MYSELF MY EXPENSES SOON INCREASED,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/9/audio/audio.mp3,MARGUERITE'S NATURE WAS VERY CAPRICIOUS AND LIKE SO MANY WOMEN SHE NEVER REGARDED AS A SERIOUS EXPENSE THOSE THOUSAND AND ONE DISTRACTIONS WHICH MADE UP HER LIFE SO WISHING TO SPEND AS MUCH TIME WITH ME AS POSSIBLE,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/10/audio/audio.mp3,SHE WOULD WRITE TO ME IN THE MORNING THAT SHE WOULD DINE WITH ME NOT AT HOME BUT AT SOME RESTAURANT IN PARIS OR IN THE COUNTRY I WOULD CALL FOR HER AND WE WOULD DINE AND GO ON TO THE THEATRE OFTEN HAVING SUPPER AS WELL,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/11/audio/audio.mp3,FORGIVE ME IF I GIVE YOU ALL THESE DETAILS BUT YOU WILL SEE THAT THEY WERE THE CAUSE OF WHAT WAS TO FOLLOW WHAT I TELL YOU IS A TRUE AND SIMPLE STORY AND I LEAVE TO IT ALL THE NAIVETE OF ITS DETAILS,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/12/audio/audio.mp3,AND ALL THE SIMPLICITY OF ITS DEVELOPMENTS I REALIZED THEN THAT AS NOTHING IN THE WORLD WOULD MAKE ME FORGET MY MISTRESS IT WAS NEEDFUL FOR ME TO FIND SOME WAY OF MEETING THE EXPENSES INTO WHICH SHE DREW ME THEN TOO,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/13/audio/audio.mp3,MY LOVE FOR HER HAD SO DISTURBING AN INFLUENCE UPON ME THAT EVERY MOMENT I SPENT AWAY FROM MARGUERITE WAS LIKE A YEAR AND THAT I FELT THE NEED OF CONSUMING THESE MOMENTS IN THE FIRE OF SOME SORT OF PASSION,en
https://datasets-server.huggingface.co/assets/librispeech_asr/--/all/train.clean.100/14/audio/audio.mp3,AS NOT TO KNOW THAT I WAS LIVING THEM I BEGAN BY BORROWING FIVE OR SIX THOUSAND FRANCS ON MY LITTLE CAPITAL AND WITH THIS I TOOK TO GAMBLING SINCE GAMBLING HOUSES WERE DESTROYED GAMBLING GOES ON EVERYWHERE,en
