age,monthly_usage,account_duration,payment_history,customer_support_calls,product_tier
47.0,58.71003941866854,47.0,1.0,5.0,3.0
57.0,32.55805895543586,60.0,0.0,5.0,1.0
23.0,72.86899660579154,15.0,0.0,6.0,1.0
37.0,54.69110503206241,5.0,0.0,8.0,2.0
37.0,47.89492434331133,69.0,1.0,2.0,1.0
41.0,35.46481807125584,2.0,2.0,6.0,1.0
44.0,32.902877600095096,114.0,2.0,6.0,3.0
20.0,67.30076487914204,38.0,0.0,7.0,2.0
41.0,48.85721902299316,114.0,0.0,4.0,1.0
69.0,48.70051675710571,94.0,0.0,2.0,2.0
27.0,51.89122264805061,54.0,0.0,1.0,1.0
42.0,20.71393226856089,92.0,1.0,3.0,1.0
45.0,49.66937104417795,39.0,0.0,7.0,3.0
35.0,49.9026733600569,96.0,1.0,4.0,1.0
59.0,72.42728639337456,20.0,0.0,0.0,2.0
62.0,62.41428341461317,20.0,2.0,2.0,2.0
31.0,31.786272920101048,29.0,1.0,4.0,1.0
18.0,44.098635940004506,35.0,2.0,5.0,2.0
37.0,65.69422951519381,32.0,2.0,1.0,3.0
64.0,30.4592974413175,17.0,2.0,7.0,2.0
42.0,75.4400545832527,116.0,0.0,6.0,2.0
29.0,49.392056275462494,51.0,2.0,6.0,1.0
65.0,58.043223955378274,8.0,2.0,6.0,2.0
56.0,43.371593075076845,21.0,2.0,4.0,3.0
63.0,43.16551039680786,23.0,1.0,1.0,2.0
26.0,36.17246153576495,115.0,0.0,7.0,3.0
26.0,73.05215963512218,51.0,2.0,2.0,3.0
59.0,58.87657060050333,91.0,0.0,2.0,3.0
58.0,35.50353365133399,6.0,1.0,1.0,3.0
42.0,60.58314218384372,52.0,0.0,1.0,2.0
47.0,64.10718681309133,8.0,2.0,1.0,2.0
65.0,66.22195615299871,99.0,0.0,5.0,1.0
57.0,54.22140337577975,69.0,0.0,7.0,3.0
45.0,52.564873364719524,33.0,0.0,2.0,1.0
19.0,36.02831582530916,62.0,0.0,5.0,3.0
42.0,69.97468768141815,65.0,0.0,2.0,3.0
35.0,60.000527293896994,63.0,1.0,8.0,3.0
41.0,64.83356423510064,88.0,2.0,0.0,2.0
35.0,21.757045948890156,32.0,0.0,6.0,3.0
44.0,64.34863713088971,55.0,0.0,7.0,3.0
61.0,50.376067824733845,33.0,2.0,8.0,1.0
52.0,62.41444464628551,38.0,2.0,4.0,3.0
51.0,32.030827630912526,2.0,2.0,5.0,1.0
55.0,77.19749113467273,108.0,2.0,4.0,2.0
23.0,40.22009886247363,81.0,0.0,9.0,2.0
66.0,67.27690884504005,10.0,2.0,4.0,3.0
33.0,46.92947523874482,101.0,1.0,6.0,3.0
40.0,77.75442563764447,101.0,0.0,3.0,1.0
45.0,54.4657762344767,66.0,1.0,5.0,1.0
30.0,78.2710864209684,76.0,2.0,3.0,2.0
29.0,48.94973340745533,101.0,1.0,1.0,3.0
28.0,33.30718832587422,94.0,0.0,1.0,3.0
64.0,54.441821199941735,15.0,0.0,3.0,1.0
66.0,48.00158700803453,87.0,0.0,4.0,1.0
69.0,40.93844292009691,116.0,0.0,0.0,2.0
39.0,68.6472440355399,82.0,1.0,2.0,2.0
48.0,29.70355998377501,61.0,0.0,4.0,3.0
44.0,78.67353343076437,31.0,0.0,7.0,1.0
