age,monthly_usage,account_duration,payment_history,customer_support_calls,product_tier,churn
56.0,40.78987089392892,45.0,0.0,7.0,2.0,1
69.0,64.04990464770188,18.0,1.0,1.0,3.0,0
46.0,50.63528196151148,99.0,1.0,4.0,2.0,0
32.0,58.238227737500694,45.0,1.0,5.0,1.0,1
60.0,72.99746175028145,19.0,2.0,0.0,1.0,0
25.0,65.0570232249872,77.0,2.0,0.0,1.0,0
38.0,52.06214517711718,115.0,2.0,8.0,3.0,0
56.0,81.34013974777697,68.0,2.0,4.0,1.0,0
36.0,40.5749577680565,83.0,2.0,3.0,2.0,1
40.0,48.49535538511171,50.0,1.0,0.0,1.0,1
28.0,49.5433950274585,25.0,0.0,2.0,3.0,0
28.0,48.463673509745306,38.0,1.0,3.0,1.0,0
41.0,33.9618401455826,115.0,2.0,4.0,3.0,1
53.0,26.245252622592528,95.0,1.0,9.0,2.0,0
57.0,56.258023615687904,36.0,0.0,4.0,1.0,0
41.0,40.497893216740145,68.0,2.0,9.0,1.0,0
20.0,78.6171318347192,56.0,1.0,7.0,2.0,0
39.0,48.91186515147141,39.0,1.0,2.0,2.0,0
19.0,46.22766113762764,63.0,0.0,6.0,3.0,0
41.0,66.41509679603982,7.0,2.0,5.0,1.0,0
61.0,56.03288956171583,119.0,2.0,9.0,1.0,1
47.0,47.367238583194265,58.0,0.0,9.0,1.0,1
55.0,40.38902378353335,80.0,0.0,9.0,1.0,1
19.0,104.86552705998612,59.0,0.0,5.0,2.0,0
38.0,55.42678643392608,48.0,0.0,9.0,1.0,0
50.0,66.26644366076594,5.0,2.0,8.0,1.0,1
29.0,34.655817196497566,111.0,2.0,6.0,1.0,1
39.0,41.33021920364488,87.0,1.0,6.0,3.0,0
61.0,81.68518832435433,36.0,1.0,0.0,3.0,0
42.0,70.95396409033452,96.0,1.0,0.0,3.0,0
66.0,56.86433155599925,88.0,2.0,8.0,2.0,0
44.0,44.276436623044646,25.0,2.0,8.0,2.0,0
59.0,46.48946342065136,45.0,2.0,9.0,2.0,1
45.0,39.85833897115806,92.0,1.0,2.0,1.0,0
33.0,32.64726004792038,19.0,0.0,7.0,1.0,0
32.0,63.857662763915215,7.0,0.0,8.0,2.0,1
64.0,58.082468341880876,108.0,0.0,0.0,3.0,0
68.0,61.041182245134095,58.0,0.0,2.0,1.0,1
61.0,44.946530180566036,105.0,0.0,5.0,3.0,0
69.0,53.834584626997454,81.0,2.0,3.0,1.0,1
20.0,43.51934352538798,66.0,1.0,7.0,1.0,0
54.0,39.09037905844541,80.0,0.0,8.0,3.0,1
68.0,75.00593654213264,39.0,0.0,6.0,2.0,0
24.0,51.82260945261115,18.0,0.0,0.0,3.0,0
38.0,57.61181507429811,103.0,2.0,1.0,2.0,0
26.0,62.53631020786251,1.0,0.0,0.0,2.0,0
56.0,52.01061329349536,63.0,1.0,8.0,1.0,0
35.0,53.60949116037732,3.0,2.0,3.0,1.0,1
21.0,33.70062234569439,21.0,2.0,9.0,1.0,0
42.0,36.55827457345122,30.0,2.0,7.0,2.0,0
31.0,35.782778673073295,11.0,0.0,4.0,2.0,0
67.0,59.08187625230803,22.0,0.0,4.0,3.0,1
26.0,51.06335979233098,111.0,0.0,4.0,1.0,0
43.0,36.559526543516185,57.0,0.0,4.0,1.0,1
19.0,58.701482624528104,89.0,1.0,2.0,2.0,0
37.0,58.15184691431159,3.0,2.0,5.0,1.0,0
45.0,39.57551013050953,30.0,0.0,0.0,2.0,0
64.0,49.58258683056089,88.0,1.0,7.0,3.0,1
24.0,58.207125125907154,45.0,2.0,3.0,3.0,0
61.0,37.12466968820865,36.0,2.0,5.0,1.0,1
25.0,58.49340147343926,87.0,2.0,1.0,3.0,0
64.0,54.515354062453426,118.0,0.0,1.0,1.0,0
52.0,35.012004417484604,72.0,2.0,7.0,1.0,1
31.0,53.29695102497153,64.0,0.0,0.0,2.0,0
34.0,55.484728799838564,54.0,1.0,7.0,2.0,0
53.0,40.60998310791801,68.0,2.0,9.0,1.0,1
67.0,41.790745252006865,50.0,1.0,9.0,3.0,0
57.0,34.87370103603215,103.0,0.0,0.0,3.0,0
21.0,43.26501546314159,107.0,0.0,8.0,1.0,0
19.0,49.81876984344278,31.0,0.0,0.0,1.0,1
23.0,41.83216761958519,29.0,2.0,3.0,3.0,1
59.0,27.72668152634169,59.0,2.0,8.0,3.0,0
21.0,39.671179630450595,36.0,1.0,0.0,2.0,0
46.0,43.74061839781997,77.0,0.0,8.0,2.0,0
35.0,62.25258064448378,105.0,1.0,7.0,3.0,1
43.0,58.92147372165396,73.0,0.0,4.0,2.0,0
61.0,62.543316183125036,119.0,0.0,5.0,2.0,1
51.0,38.91471654501548,85.0,1.0,4.0,1.0,0
27.0,52.12326168619015,115.0,0.0,3.0,2.0,0
