LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,Ce0tralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,YrSold,SalePrice,SalePriceK,Sold_HigherThan_Median
65,8450,7,5,2003,2003,150,856,1,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,1,0,61,0,0,0,0,2008,208500,208.5,More than median
80,9600,6,8,1976,1976,284,1262,1,1262,0,0,1262,0,1,2,0,3,1,6,1,1976,2,460,1,298,0,0,0,0,0,2007,181500,181.5,More than median
68,11250,7,5,2001,2002,434,920,1,920,866,0,1786,1,0,2,1,3,1,6,1,2001,2,608,1,0,42,0,0,0,0,2008,223500,223.5,More than median
60,9550,7,5,1915,1970,540,756,1,961,756,0,1717,1,0,1,0,3,1,7,1,1998,3,642,1,0,35,272,0,0,0,2006,140000,140,Less than median
84,14260,8,5,2000,2000,490,1145,1,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000,3,836,1,192,84,0,0,0,0,2008,250000,250,More than median
85,14115,5,5,1993,1995,64,796,1,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,1,40,30,0,320,0,0,2009,143000,143,Less than median
75,10084,8,5,2004,2005,317,1686,1,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,1,255,57,0,0,0,0,2007,307000,307,More than median
-1,10382,7,6,1973,1973,216,1107,1,1107,983,0,2090,1,0,2,1,3,1,7,2,1973,2,484,1,235,204,228,0,0,0,2009,200000,200,More than median
51,6120,7,5,1931,1950,952,952,1,1022,752,0,1774,0,0,2,0,2,2,8,2,1931,2,468,1,90,0,205,0,0,0,2008,129900,129.9,Less than median
50,7420,5,6,1939,1950,140,991,1,1077,0,0,1077,1,0,1,0,2,2,5,2,1939,1,205,1,0,4,0,0,0,0,2008,118000,118,Less than median
