Gender,Loan_Requirement (in 1000$),Loan_Tenure,Home_Ownership,Income (in 1000$),Employment_Tenure,Credit_score,Age,Credit_Utlization,Active_Credit_balance (in 1000$),Open_CreditAcc,Income_to_debt_ratio,Pre-Approved,LoanStatus
Male,43,12,1,34,36,920,39,23,5,3,80,1,True
Male,17,5,1,63,22,862,41,24,9,4,79,0,True
Female,85,16,1,3000,0,390,67,30,31,5,29,0,False
Male,54,16,0,4000,0,515,60,38,28,6,14,0,False
Male,20,6,0,49,33,940,30,7,8,1,87,1,True
Male,17,9,1,60,22,995,46,20,5,0,94,1,True
Male,19,13,1,29,33,810,54,6,9,2,77,1,True
Male,51,7,0,12,22,730,41,19,15,0,79,1,True
Male,9,14,0,45,31,900,29,22,19,0,64,1,True
Female,55,16,0,3000,1,465,61,37,35,5,33,0,False
Female,37,19,0,5,2,300,66,73,39,5,18,0,False
Female,73,24,1,3000,0,330,63,42,42,7,29,0,False
Male,17,8,1,54,16,945,22,10,5,0,94,1,True
Male,24,7,1,51,39,995,26,29,6,1,94,1,True
Male,45,11,1,86,28,970,65,52,7,1,83,1,True
Female,66,16,1,3000,1,175,67,47,34,5,40,0,False
Female,69,19,0,10000,1,455,64,32,26,5,39,0,False
Male,18,13,0,48,9,955,36,11,17,3,74,1,True
Male,49,13,1,71,6,710,61,38,12,1,58,1,True
Male,41,9,1,40,15,770,28,9,16,3,56,1,True
Female,39,15,0,3,2,425,69,64,53,7,23,0,False
Female,47,19,0,9,0,425,69,66,49,6,18,0,False
Female,57,24,0,2000,1,320,60,30,49,7,26,0,False
Female,53,18,0,2,3,440,70,79,54,6,14,0,False
Male,10,7,1,71,28,885,36,15,6,0,99,1,True
Male,10,6,1,13,36,780,46,26,10,3,60,1,True
Female,65,19,0,2000,1,120,61,32,35,6,38,0,False
Female,54,23,1,3000,0,395,70,55,20,7,32,0,False
Male,19,6,1,86,22,900,36,11,7,0,99,1,True
Male,36,7,1,30,17,840,23,21,6,1,78,1,True
Male,11,9,1,88,16,995,24,26,8,1,98,1,True
Male,23,11,0,81,33,675,69,49,17,2,59,1,True
Male,44,14,1,15,12,855,37,5,6,3,60,1,True
Male,24,14,1,7,6,930,30,26,17,1,66,1,True
Male,47,6,1,35,26,740,49,9,14,1,77,1,True
Male,18,7,1,90,36,905,40,22,5,1,91,1,True
Female,21,5,0,3000,0,295,36,8,43,6,48,0,False
Male,19,7,1,60,20,875,42,7,8,1,83,1,True
Male,11,9,1,89,17,865,24,29,7,0,89,1,True
Female,43,17,0,2,1,300,69,76,25,6,14,0,False
Male,19,7,1,60,20,950,40,24,7,1,95,1,True
Male,13,7,1,59,33,960,42,13,7,0,97,1,True
Female,99,22,0,4000,0,390,70,35,30,6,47,0,False
Female,44,23,0,23,2,375,70,50,52,6,29,0,False
Male,53,7,1,18,20,920,22,15,8,0,64,1,True
Female,35,6,0,55,34,750,67,43,12,0,70,1,True
Male,13,6,0,44,16,755,28,12,7,2,88,1,True
Female,98,23,1,20000,0,525,60,54,43,7,19,0,False
Male,22,14,0,37,8,655,34,8,11,2,56,1,True
Female,86,24,0,3000,0,340,71,42,20,6,14,0,False
Female,63,23,1,21000,1,100,66,42,42,5,39,0,False
Male,65,16,0,18000,1,470,70,57,22,5,48,0,False
Male,30,8,1,7,36,875,34,13,7,3,59,1,True
Male,39,5,0,17,37,815,33,22,10,3,58,1,True
Female,33,11,1,21,25,655,46,20,19,1,76,1,True
Male,35,11,1,22,8,735,52,8,14,0,72,1,True
Female,78,20,1,2000,1,205,71,43,31,5,34,0,False
Male,23,6,1,91,23,805,28,11,9,1,99,1,True
Male,10,5,1,99,16,870,45,22,6,1,85,1,True
Male,16,5,0,31,35,849,28,18,9,2,55,0,False
Male,56,6,1,10,36,835,46,10,13,2,86,1,True
Male,43,12,1,15,5,925,20,18,17,2,77,1,True
Male,15,5,1,88,14,900,30,6,6,1,83,1,True
Female,49,23,0,5,4,335,72,50,32,5,18,0,False
Male,58,5,1,43,32,980,40,6,18,1,78,1,True
Male,18,9,1,92,32,815,36,0,5,1,98,1,True
Female,29,9,1,88,30,995,70,45,18,2,69,1,True
Female,9,14,1,7,12,875,24,21,10,2,75,1,True
Female,37,23,0,11,1,400,65,72,48,7,26,0,False
Female,54,23,0,16,4,300,69,56,29,7,26,0,False
Female,36,19,0,5,0,355,67,60,41,7,10,0,False
Female,27,11,1,8,28,755,48,7,7,1,51,1,True
Female,54,21,0,20,1,320,71,57,45,5,29,0,False
Male,99,24,0,3997,0,355,74,38,35,7,11,0,True
Female,39,19,0,21,1,450,66,62,46,6,27,0,False
Male,18,8,0,17,26,770,40,26,7,2,75,1,True
Female,95,17,1,3000,1,450,73,43,30,5,29,0,False
Female,52,11,0,11009,7,372,57,37,38,0,23,1,False
Female,72,23,1,3000,1,520,67,42,37,5,48,0,False
Female,81,17,1,2000,1,330,65,40,48,5,12,0,False
Female,47,20,0,13,0,345,68,76,26,5,20,0,False
Male,22,6,1,77,13,845,33,8,8,0,91,1,True
Female,79,18,0,3000,0,200,62,54,23,5,19,0,False
Male,63,24,1,60,15,865,68,39,15,1,76,1,True
Female,93,22,0,4000,1,500,65,49,39,5,17,0,False
Male,37,7,0,20,6,900,29,8,8,2,85,1,True
Female,94,13,1,2000,0,459,74,41,30,7,26,1,True
Female,41,20,0,100,12,900,62,53,5,0,66,0,True
Female,70,19,0,3000,1,270,72,44,44,6,18,0,False
Female,69,17,1,3000,0,380,73,39,38,5,14,0,False
Male,95,24,1,3000,1,390,71,46,33,7,48,0,False
